gene	avg(log_norm_counts)	avg(log_norm_counts_3_P7_clusters)	avg_logFC	p_val	p_val_adj	cluster
Gapdh	1.67073906	1.413142768	0.447656565	1.75E-21	2.03E-17	P7-C1
Nrp1	1.223633721	1.001124614	0.441779456	9.91E-18	1.15E-13	P7-C1
Dtnbp1	0.805339671	0.609409702	0.439742591	1.03E-17	1.20E-13	P7-C1
Gaa	0.743222283	0.562345733	0.439597591	1.74E-17	2.03E-13	P7-C1
Sdcbp	2.441245628	2.142209022	0.434039969	5.29E-18	6.16E-14	P7-C1
Hmox1	0.564553532	0.408350583	0.422484732	6.28E-21	7.30E-17	P7-C1
Atp6v1a	0.789133587	0.599010466	0.417869302	5.13E-19	5.97E-15	P7-C1
Pgm2	0.346648093	0.230331558	0.4175108	6.64E-16	7.73E-12	P7-C1
Pnpla7	0.876106046	0.707366903	0.417035816	4.07E-17	4.74E-13	P7-C1
Gng12	0.767974911	0.588767186	0.412931824	1.85E-20	2.15E-16	P7-C1
Man1c1	0.645057833	0.465931507	0.412723058	1.33E-21	1.55E-17	P7-C1
Rap2b	0.430189157	0.299713713	0.41175384	8.79E-16	1.02E-11	P7-C1
Ttyh2	0.386513065	0.274787089	0.410347557	7.37E-29	8.57E-25	P7-C1
Cadm1	0.808958888	0.607581505	0.408873177	5.41E-15	6.29E-11	P7-C1
Pfkl	0.629042613	0.473472099	0.402449318	5.93E-15	6.90E-11	P7-C1
Pfkfb3	0.378756533	0.253652359	0.400303588	1.03E-12	1.20E-08	P7-C1
Tpd52	1.135296029	0.904560555	0.396259715	1.88E-22	2.19E-18	P7-C1
Neu1	0.495249343	0.356035209	0.395244544	9.22E-15	1.07E-10	P7-C1
Rcbtb2	0.900265406	0.719851639	0.394017232	4.89E-20	5.69E-16	P7-C1
Adipor1	1.424086663	1.179605237	0.393831035	5.78E-17	6.73E-13	P7-C1
Gba	1.458462732	1.202285668	0.392093998	1.00E-16	1.17E-12	P7-C1
Lmf1	0.325470298	0.230878694	0.391524144	3.79E-10	4.41E-06	P7-C1
Lgals1	0.3832808	0.272459046	0.390478362	1.78E-29	2.07E-25	P7-C1
Cln3	0.611696784	0.46596381	0.390232466	4.41E-15	5.13E-11	P7-C1
S1pr1	0.735145379	0.5498575	0.389849947	1.11E-25	1.29E-21	P7-C1
Lmo2	0.887323923	0.700096189	0.389673529	4.52E-16	5.25E-12	P7-C1
Myo1e	0.488925691	0.352457212	0.389407721	7.07E-12	8.23E-08	P7-C1
Lamp1	3.323747197	3.090813801	0.387563528	1.50E-22	1.75E-18	P7-C1
Gga2	0.428884217	0.294938652	0.384903781	5.26E-18	6.12E-14	P7-C1
Cd300a	1.024514499	0.815111811	0.378408547	1.54E-18	1.79E-14	P7-C1
Gns	1.79131766	1.557257255	0.375033309	1.47E-14	1.71E-10	P7-C1
Sh3bgrl	0.447648178	0.325039017	0.374876875	3.07E-23	3.57E-19	P7-C1
Anxa4	0.452945261	0.3248053	0.372443568	7.93E-17	9.23E-13	P7-C1
Sirt2	0.850164376	0.681788388	0.368568265	7.12E-16	8.29E-12	P7-C1
Dgkz	0.718412424	0.537282825	0.367812578	1.81E-19	2.11E-15	P7-C1
Gpr137b	0.661675788	0.523154961	0.364687073	1.22E-16	1.43E-12	P7-C1
Abcg1	0.923766983	0.762523185	0.364522451	1.60E-20	1.86E-16	P7-C1
Slc6a6	1.048394968	0.859829631	0.363392602	5.90E-17	6.87E-13	P7-C1
Epb4.1l3	0.29988895	0.207869169	0.363333164	2.14E-13	2.49E-09	P7-C1
Cyp4v3	0.375773392	0.259947179	0.361763199	9.95E-14	1.16E-09	P7-C1
Npl	0.936802192	0.748677183	0.361473378	1.16E-19	1.35E-15	P7-C1
Mfsd11	0.764901808	0.590288414	0.359382113	2.18E-16	2.53E-12	P7-C1
Slc17a5	0.375210958	0.271153453	0.357913201	2.36E-18	2.74E-14	P7-C1
Clta	1.676231813	1.465096859	0.357297008	9.79E-18	1.14E-13	P7-C1
Amdhd2	0.397248833	0.283727359	0.356723254	1.33E-15	1.54E-11	P7-C1
Mfsd1	1.62010858	1.377901941	0.35310848	4.39E-15	5.11E-11	P7-C1
Atp6v1c1	0.866117858	0.685715282	0.350225278	1.86E-14	2.17E-10	P7-C1
Abcd2	0.921673219	0.691577093	0.34907784	2.06E-15	2.40E-11	P7-C1
Osbpl9	0.473532531	0.375552536	0.348891009	7.05E-13	8.20E-09	P7-C1
Sqstm1	0.913793768	0.735800499	0.347924436	1.49E-13	1.73E-09	P7-C1
Atp6v0d1	0.645371404	0.505027284	0.3473221	1.56E-25	1.82E-21	P7-C1
Prune2	0.36618116	0.267250455	0.346782569	1.42E-18	1.65E-14	P7-C1
Gyg	0.436942395	0.337026385	0.346640413	6.80E-13	7.91E-09	P7-C1
Bnip3	0.556348239	0.428583799	0.346479197	4.61E-19	5.37E-15	P7-C1
Ppt1	1.279953351	1.068841256	0.338628914	9.38E-13	1.09E-08	P7-C1
Rasgrp3	0.725835052	0.579383708	0.338166208	4.88E-12	5.68E-08	P7-C1
Map1lc3b	0.879318653	0.724372875	0.336923217	9.89E-20	1.15E-15	P7-C1
Sord	0.435440918	0.310748785	0.336233712	2.73E-12	3.17E-08	P7-C1
Tspan4	0.875609482	0.663684841	0.334147186	2.09E-13	2.43E-09	P7-C1
Arhgap19	0.51837776	0.382950397	0.331313703	2.18E-15	2.54E-11	P7-C1
Camk1	1.744325854	1.482915517	0.330653684	3.46E-14	4.02E-10	P7-C1
Plin3	0.490489071	0.378255389	0.329713904	1.47E-15	1.71E-11	P7-C1
0610031J06Rik	1.47844757	1.231950297	0.326521882	3.03E-13	3.52E-09	P7-C1
Rragc	0.660979238	0.493454183	0.322679078	3.27E-16	3.81E-12	P7-C1
Abcg3	0.277989966	0.199233021	0.322573665	2.29E-13	2.67E-09	P7-C1
D6Wsu116e	0.695688942	0.519806424	0.320342884	2.52E-15	2.93E-11	P7-C1
Atp6v1e1	0.495034297	0.395837411	0.31722097	9.40E-16	1.09E-11	P7-C1
Il10rb	1.094053144	0.861495445	0.315953975	4.85E-14	5.65E-10	P7-C1
Blmh	0.532052012	0.400619776	0.315575219	3.01E-14	3.50E-10	P7-C1
Prdx1	1.382261689	1.16560426	0.313795014	9.09E-14	1.06E-09	P7-C1
Akr1a1	2.091618978	1.851875667	0.312920098	2.14E-13	2.50E-09	P7-C1
Grina	0.86053676	0.68134341	0.312874408	1.01E-15	1.18E-11	P7-C1
Vwa5a	0.716071508	0.547403631	0.311980453	3.47E-15	4.04E-11	P7-C1
Alas1	0.657518229	0.506180147	0.309261549	9.27E-18	1.08E-13	P7-C1
Id2	0.446896604	0.34251333	0.308729106	1.14E-13	1.33E-09	P7-C1
Snx3	1.35206902	1.108492444	0.307877128	7.36E-16	8.57E-12	P7-C1
Gsto1	0.34272872	0.239240743	0.307648595	1.62E-17	1.89E-13	P7-C1
Tmem86a	1.257261959	1.050593149	0.307379001	1.79E-12	2.08E-08	P7-C1
Abhd4	0.645979059	0.500209413	0.307364437	1.43E-11	1.67E-07	P7-C1
Tpp1	1.991771884	1.752310886	0.306826301	9.07E-12	1.06E-07	P7-C1
Fth1	2.592776486	2.351848008	0.301578036	2.21E-26	2.57E-22	P7-C1
Clcn7	1.186596944	1.013385233	0.301437235	1.15E-08	0.000134037	P7-C1
Gusb	2.524170846	2.270586139	0.300172109	2.46E-11	2.86E-07	P7-C1
Prps2	0.458023179	0.347435847	0.298834799	2.16E-12	2.52E-08	P7-C1
Ucp2	2.363191246	2.06127406	0.29829948	1.03E-11	1.20E-07	P7-C1
Heatr7a	0.353613188	0.265793641	0.298110009	1.84E-10	2.14E-06	P7-C1
Psmb6	1.160532649	1.00293369	0.295458986	2.73E-11	3.18E-07	P7-C1
Gpr137b-ps	1.00029888	0.827696692	0.294731097	3.54E-13	4.12E-09	P7-C1
Aig1	0.291132777	0.209369695	0.293687405	1.56E-15	1.82E-11	P7-C1
Pygl	0.29607055	0.220699908	0.293493386	6.68E-10	7.77E-06	P7-C1
Sdhb	0.866373709	0.689315561	0.293479606	4.35E-16	5.06E-12	P7-C1
Chmp1a	0.586888064	0.450147571	0.292170601	3.88E-14	4.51E-10	P7-C1
Acadl	0.395829424	0.283116338	0.291917244	6.79E-18	7.91E-14	P7-C1
Fblim1	0.176402719	0.107879931	0.291577405	1.38E-17	1.61E-13	P7-C1
Mif	0.56220245	0.431056277	0.291094989	2.26E-25	2.63E-21	P7-C1
Ostm1	0.439215543	0.34815144	0.290730338	2.33E-15	2.71E-11	P7-C1
Gabarap	1.109971008	0.929494862	0.287362684	1.15E-16	1.34E-12	P7-C1
Renbp	0.93267003	0.76316205	0.286668715	1.09E-15	1.27E-11	P7-C1
Glb1	0.538492592	0.430842852	0.286345012	5.80E-09	6.75E-05	P7-C1
Idua	0.494822876	0.378261379	0.286285933	2.22E-09	2.59E-05	P7-C1
E430025E21Rik	0.526085078	0.416875857	0.285779316	1.35E-15	1.57E-11	P7-C1
Tex264	0.327091786	0.240821789	0.285486786	1.67E-15	1.94E-11	P7-C1
Arpc5	1.73830518	1.454146326	0.284478777	9.56E-12	1.11E-07	P7-C1
Yif1a	0.413671336	0.333412216	0.283724332	5.89E-13	6.86E-09	P7-C1
Lmbrd1	0.436466799	0.338697046	0.283609943	1.20E-12	1.39E-08	P7-C1
Lrpap1	1.11786127	0.903945344	0.283113402	1.26E-12	1.46E-08	P7-C1
Atp6v1g1	1.056260301	0.88874461	0.282266094	5.36E-16	6.24E-12	P7-C1
Ptplad2	0.352298088	0.250018865	0.281959259	1.76E-10	2.05E-06	P7-C1
Aldh9a1	0.501066127	0.394449221	0.281509769	5.59E-13	6.50E-09	P7-C1
Npc2	1.963029328	1.752410707	0.28139486	2.50E-10	2.91E-06	P7-C1
Galns	0.419914741	0.314844044	0.280383204	4.49E-13	5.22E-09	P7-C1
Atp1b3	1.981244676	1.756671854	0.280033201	6.02E-11	7.00E-07	P7-C1
Mt1	0.595343978	0.468097634	0.27796495	1.34E-27	1.55E-23	P7-C1
Ptpra	1.129738625	0.938265864	0.277770595	5.11E-13	5.94E-09	P7-C1
Uba5	0.32149704	0.222457911	0.276855013	5.24E-13	6.10E-09	P7-C1
Slc12a2	0.495093476	0.381867457	0.275658869	6.94E-15	8.07E-11	P7-C1
Gnpda1	0.956185842	0.782914246	0.275396681	3.12E-11	3.63E-07	P7-C1
Atxn10	0.918432284	0.76613413	0.274404456	1.95E-13	2.27E-09	P7-C1
Ms4a6d	0.720385404	0.575562979	0.274019934	2.15E-13	2.50E-09	P7-C1
Tlr1	0.550368866	0.414283845	0.272804326	2.47E-11	2.87E-07	P7-C1
Atp6ap1	1.602359812	1.395258265	0.272271021	3.88E-10	4.52E-06	P7-C1
Rab31	1.943209964	1.709151186	0.270624084	9.51E-09	0.00011062	P7-C1
Idh1	0.58298072	0.460744002	0.267100057	3.11E-16	3.62E-12	P7-C1
G6pdx	0.600946164	0.46487588	0.266479361	2.23E-10	2.60E-06	P7-C1
Csf2ra	0.974364178	0.768979287	0.265661703	3.75E-11	4.36E-07	P7-C1
St6gal1	0.391051878	0.303985008	0.26502862	3.68E-13	4.28E-09	P7-C1
Nbr1	0.358519162	0.271703982	0.264242031	4.62E-07	0.005373496	P7-C1
Tyrobp	2.206180862	2.074211508	0.263152343	3.59E-13	4.18E-09	P7-C1
Vps33a	0.433373124	0.323796006	0.262504241	8.14E-15	9.48E-11	P7-C1
Vac14	0.535310181	0.419260274	0.262320379	3.30E-09	3.83E-05	P7-C1
Blvra	0.426969553	0.308836746	0.262049356	1.74E-17	2.03E-13	P7-C1
Qdpr	0.436221807	0.335334934	0.261032009	1.34E-12	1.56E-08	P7-C1
Eci2	0.401303642	0.303803615	0.26018896	1.17E-12	1.36E-08	P7-C1
Ramp1	0.5328151	0.416706597	0.259060206	2.78E-17	3.24E-13	P7-C1
Wdfy1	0.581946025	0.446286125	0.258843764	1.11E-11	1.29E-07	P7-C1
Ecd	0.384639715	0.279340235	0.258297996	3.10E-08	0.000360773	P7-C1
Btg1	0.30503733	0.230553564	0.258161572	4.97E-13	5.78E-09	P7-C1
Trem2	2.347497199	2.205511049	0.25808121	9.08E-12	1.06E-07	P7-C1
Scd2	0.572023951	0.462950202	0.257000854	2.53E-11	2.95E-07	P7-C1
Trim35	0.601525148	0.510352397	0.256046882	6.42E-09	7.47E-05	P7-C1
Slc38a7	0.546276657	0.406235225	0.255079943	1.09E-12	1.26E-08	P7-C1
Cyba	1.864742402	1.688012539	0.253426218	2.50E-13	2.91E-09	P7-C1
Csf1r	4.184329527	4.234473767	-0.250150999	1.31E-11	1.52E-07	P7-C1
Cyth4	1.999487408	2.002797563	-0.259104814	0.002789718	1	P7-C1
Cd81	3.00754151	3.035332214	-0.277329489	3.71E-10	4.32E-06	P7-C1
Ly6e	1.067041563	1.119588719	-0.278898246	0.006081348	1	P7-C1
Malat1	3.110941229	3.124981809	-0.281089269	4.47E-08	0.000520691	P7-C1
Olfml3	2.677306993	2.675856522	-0.287529427	1.20E-07	0.001400271	P7-C1
Cx3cr1	4.529201054	4.619950139	-0.288257203	5.17E-13	6.02E-09	P7-C1
Mlxipl	0.225565921	0.274136229	-0.289055908	0.008882756	1	P7-C1
Srsf5	0.828766823	0.898487686	-0.297584563	0.006158038	1	P7-C1
Cfh	1.792828129	1.818349162	-0.29789774	0.001817008	1	P7-C1
Cst3	3.397809308	3.493041895	-0.298034023	4.58E-09	5.33E-05	P7-C1
Il6ra	1.407960592	1.474966536	-0.304332751	0.007316267	1	P7-C1
Cd164	2.53340586	2.566147745	-0.309474348	9.54E-06	0.110983451	P7-C1
Ckb	2.105477113	2.181783389	-0.318038351	6.23E-07	0.007246244	P7-C1
Ifngr1	2.15815371	2.239084114	-0.319262723	1.23E-05	0.143478536	P7-C1
Trf	2.287398376	2.336773413	-0.323281887	0.00011611	1	P7-C1
Serinc3	2.312502678	2.424222139	-0.32352518	2.45E-15	2.85E-11	P7-C1
Mbnl1	1.374109171	1.417320122	-0.325780823	0.003222731	1	P7-C1
Hnrnpa2b1	1.431381526	1.502743942	-0.350727545	4.29E-05	0.498803079	P7-C1
P2ry6	1.513129398	1.50325549	-0.353161455	0.00777464	1	P7-C1
Rogdi	0.9241417	1.002727894	-0.359005317	0.001915747	1	P7-C1
Zfhx3	0.393337028	0.470298565	-0.362366958	0.000729599	1	P7-C1
Susd3	0.812322565	0.910493596	-0.364429678	0.007151217	1	P7-C1
Ltc4s	0.708429865	0.815042659	-0.364948396	6.68E-06	0.077721085	P7-C1
Inpp5d	1.651065807	1.726924326	-0.372197843	0.001655204	1	P7-C1
Asb2	0.253295471	0.297500659	-0.372566535	0.005494801	1	P7-C1
Ecscr	0.347782193	0.448899083	-0.385438856	0.000828814	1	P7-C1
Golm1	1.669414044	1.797623523	-0.390259458	0.000578549	1	P7-C1
Alox5ap	0.510299795	0.563831644	-0.405881853	0.001475109	1	P7-C1
Pld1	0.438394748	0.530937267	-0.419101784	0.004935831	1	P7-C1
Rps6ka1	1.525975697	1.61707599	-0.452723109	2.11E-05	0.245262615	P7-C1
Fmnl3	0.502643428	0.579226121	-0.491168939	0.004292546	1	P7-C1
F11r	1.556423548	1.739408194	-0.503602374	1.25E-10	1.46E-06	P7-C1
Gpr165	0.24197678	0.364018658	-0.512579228	6.61E-06	0.076908656	P7-C1
St3gal6	0.350909268	0.456425918	-0.530394339	0.006511651	1	P7-C1
Lpcat2	1.763479259	1.939608698	-0.536032587	4.87E-14	5.67E-10	P7-C1
Slco2b1	1.602450223	1.798848051	-0.537697611	4.43E-08	0.000514992	P7-C1
Siglech	2.077739791	2.259224568	-0.53802737	1.43E-15	1.66E-11	P7-C1
Sparc	2.708167546	2.903481258	-0.540542483	1.03E-23	1.20E-19	P7-C1
Fgd2	1.299421425	1.505354657	-0.5543407	2.75E-07	0.003194587	P7-C1
Tmem173	0.503653183	0.64127303	-0.564178859	1.75E-05	0.203269693	P7-C1
Slc2a5	0.724057398	0.886237729	-0.602873957	0.000791898	1	P7-C1
Tgfbr1	0.694762168	0.848616807	-0.615375758	4.20E-07	0.004886806	P7-C1
Ivns1abp	1.411431965	1.6423932	-0.626780411	1.63E-10	1.90E-06	P7-C1
P2ry13	2.127357106	2.331032411	-0.627728146	5.09E-15	5.92E-11	P7-C1
Junb	0.745897965	0.916609704	-0.628405989	1.08E-05	0.126220702	P7-C1
Mgat4a	1.438200392	1.581139816	-0.628671031	2.62E-09	3.05E-05	P7-C1
Ptgs1	1.512709087	1.766738668	-0.725308754	2.44E-17	2.84E-13	P7-C1
Gpr56	0.568954325	0.747465571	-0.751646013	1.06E-05	0.123450477	P7-C1
P2ry12	2.859337791	3.234104617	-0.856496985	4.65E-39	5.41E-35	P7-C1
Selplg	1.247227296	1.651516202	-1.074653728	1.57E-30	1.82E-26	P7-C1
Tmem119	1.47568117	2.051984061	-1.362533788	6.24E-46	7.26E-42	P7-C1
