Gene	Fold Change	Pvalue	Padj (FDR)	pct.1	pct.2
Vat1	2.08	0.00E+00	0.00E+00	0.35	0.03
Sepp1	2.06	0.00E+00	0.00E+00	1	0.98
Ctsz	2.03	0.00E+00	0.00E+00	1	0.98
Aplp2	2.00	0.00E+00	0.00E+00	0.5	0.12
Gatm	1.95	0.00E+00	0.00E+00	0.79	0.42
Npc2	1.95	0.00E+00	0.00E+00	1	0.87
Gpr137b	1.94	0.00E+00	0.00E+00	0.45	0.09
Lamp1	1.94	0.00E+00	0.00E+00	0.99	0.88
Pgk1	1.94	0.00E+00	0.00E+00	0.41	0.11
Ccl3	1.91	0.00E+00	0.00E+00	0.52	0.16
Clta	1.91	0.00E+00	0.00E+00	0.99	0.86
Bnip3	1.90	0.00E+00	0.00E+00	0.45	0.12
Eno1b	1.89	0.00E+00	0.00E+00	0.54	0.15
Aprt	1.89	0.00E+00	0.00E+00	0.63	0.23
Nme1	1.89	0.00E+00	0.00E+00	0.79	0.35
Aldoa	1.87	0.00E+00	0.00E+00	0.94	0.59
Fam20c	1.87	0.00E+00	0.00E+00	0.26	0.02
Tmem106a	1.86	0.00E+00	0.00E+00	0.41	0.09
Psmb6	1.85	0.00E+00	0.00E+00	0.84	0.49
Eno1	1.85	0.00E+00	0.00E+00	0.83	0.5
Ctsa	1.85	0.00E+00	0.00E+00	0.98	0.83
Dab2	1.84	0.00E+00	0.00E+00	0.47	0.12
Sh3bgrl	1.83	0.00E+00	0.00E+00	0.36	0.06
Slc16a3	1.82	0.00E+00	0.00E+00	0.48	0.16
Wbp5	1.80	0.00E+00	0.00E+00	0.58	0.21
Akr1a1	1.80	0.00E+00	0.00E+00	0.92	0.58
Spcs2	1.80	0.00E+00	0.00E+00	0.97	0.75
X0610012G03Rik	1.80	0.00E+00	0.00E+00	0.69	0.3
Gusb	1.79	0.00E+00	0.00E+00	0.92	0.59
Dpp7	1.79	0.00E+00	0.00E+00	0.48	0.13
Atp6v0d2	1.79	0.00E+00	0.00E+00	0.17	0
Cd68	1.78	0.00E+00	0.00E+00	0.98	0.86
Gm2000	1.77	0.00E+00	0.00E+00	0.89	0.57
Vps29	1.77	0.00E+00	0.00E+00	0.76	0.35
Adssl1	1.77	0.00E+00	0.00E+00	0.34	0.07
Gpi1	1.77	0.00E+00	0.00E+00	0.71	0.31
Slpi	1.76	0.00E+00	0.00E+00	0.1	0
Emp3	1.76	0.00E+00	0.00E+00	0.59	0.25
Serpine2	1.74	0.00E+00	0.00E+00	0.98	0.83
Creg1	1.74	0.00E+00	0.00E+00	0.92	0.65
Uap1l1	1.74	0.00E+00	0.00E+00	0.56	0.2
Crip1	1.74	0.00E+00	0.00E+00	0.33	0.05
Gabarap	1.73	0.00E+00	0.00E+00	0.95	0.7
Glmp	1.73	0.00E+00	0.00E+00	0.86	0.5
Gyg	1.72	0.00E+00	0.00E+00	0.42	0.12
Gas6	1.72	0.00E+00	0.00E+00	0.83	0.44
Cfl1	1.70	0.00E+00	0.00E+00	1	0.86
Psat1	1.69	6.71E-290	4.26E-288	0.42	0.12
Atxn10	1.69	0.00E+00	0.00E+00	0.65	0.29
Aig1	1.69	0.00E+00	0.00E+00	0.4	0.12
Gnas	1.68	0.00E+00	0.00E+00	0.95	0.7
Cyba	1.67	0.00E+00	0.00E+00	1	0.95
Cox4i1	1.67	0.00E+00	0.00E+00	0.98	0.79
Gapdh	1.66	0.00E+00	0.00E+00	0.89	0.58
Ramp1	1.65	0.00E+00	0.00E+00	0.5	0.19
Itgax	1.65	0.00E+00	0.00E+00	0.21	0.01
Atp1a1	1.65	0.00E+00	0.00E+00	0.56	0.22
Tpd52	1.64	0.00E+00	0.00E+00	0.72	0.33
Edem1	1.64	0.00E+00	0.00E+00	0.63	0.28
Dtnbp1	1.64	9.881313e-324	6.768699e-322	0.52	0.19
Chchd10	1.63	0.00E+00	0.00E+00	0.21	0.02
Mt1	1.62	0.00E+00	0.00E+00	0.78	0.4
Atp6v1g1	1.61	0.00E+00	0.00E+00	0.93	0.64
Blvra	1.61	4.15E-297	2.68E-295	0.5	0.19
Plin3	1.61	2.13E-306	1.41E-304	0.36	0.09
Arpc1b	1.61	0.00E+00	0.00E+00	0.99	0.86
Aes	1.60	1.61E-283	1.01E-281	0.52	0.18
Mgst3	1.60	8.68E-230	4.59E-228	0.33	0.09
Bag1	1.60	2.22E-298	1.44E-296	0.66	0.3
H2afz	1.59	0.00E+00	0.00E+00	0.8	0.45
Arpc5	1.59	0.00E+00	0.00E+00	0.86	0.54
Hsd17b12	1.58	3.00E-256	1.71E-254	0.6	0.27
Cd28	1.58	0.00E+00	0.00E+00	0.17	0.02
Alas1	1.57	3.56E-269	2.12E-267	0.45	0.16
Gba	1.57	1.69E-268	1.00E-266	0.46	0.16
Degs1	1.56	3.58E-267	2.10E-265	0.54	0.23
Fxyd5	1.56	2.15E-275	1.32E-273	0.34	0.1
Uba52	1.56	0.00E+00	0.00E+00	0.49	0.28
Ndufb8	1.56	3.411117e-315	2.319719e-313	0.81	0.45
Tmem256	1.55	2.95E-284	1.87E-282	0.63	0.3
Naa20	1.55	2.30E-251	1.30E-249	0.61	0.28
Sdhd	1.55	6.12E-248	3.44E-246	0.62	0.28
Ank	1.54	8.96E-234	4.79E-232	0.24	0.04
Plek	1.54	2.47E-235	1.34E-233	0.6	0.29
Echs1	1.54	4.68E-226	2.45E-224	0.52	0.21
Tmem9b	1.53	8.39E-275	5.13E-273	0.69	0.34
Ngfrap1	1.53	1.69E-205	8.36E-204	0.37	0.11
Sdcbp	1.53	0.00E+00	0.00E+00	0.92	0.63
Gltp	1.52	5.15E-279	3.20E-277	0.73	0.4
C3ar1	1.52	2.83E-303	1.86E-301	0.74	0.44
X1110008F13Rik	1.52	2.43E-266	1.42E-264	0.73	0.4
Fabp3.ps1	1.51	0.00E+00	0.00E+00	0.21	0.01
Nptn	1.51	2.97E-234	1.60E-232	0.59	0.24
Fkbp1a	1.51	1.88E-215	9.48E-214	0.73	0.39
Wwp2	1.50	9.57E-168	4.11E-166	0.34	0.09
Atp5o	1.50	2.22E-232	1.18E-230	0.72	0.39
Baiap2l2	1.50	0.00E+00	0.00E+00	0.16	0.01
Rplp2	0.67	0.00E+00	0.00E+00	0.84	0.81
Dapp1	0.67	1.54E-100	4.65E-99	0.08	0.17
Akirin2	0.67	4.19E-100	1.26E-98	0.22	0.28
Abca9	0.67	2.71E-103	8.31E-102	0.1	0.18
Rab3il1	0.66	1.55E-141	5.92E-140	0.45	0.49
Luc7l2	0.66	4.30E-108	1.37E-106	0.3	0.35
Nr3c1	0.66	4.92E-106	1.53E-104	0.09	0.18
Ntpcr	0.66	7.76E-147	3.05E-145	0.41	0.46
mt-Nd2	0.66	3.92E-163	1.64E-161	0.54	0.53
Irf2	0.66	2.35E-101	7.13E-100	0.14	0.21
Tnpo3	0.66	2.93E-103	8.99E-102	0.07	0.16
Krit1	0.66	5.36E-103	1.64E-101	0.16	0.24
mt-Nd3	0.66	2.36E-203	1.15E-201	0.01	0.1
Prkcd	0.66	3.12E-115	1.03E-113	0.3	0.35
Mlxipl	0.66	5.65E-103	1.72E-101	0.05	0.14
Ppcdc	0.66	2.40E-104	7.39E-103	0.21	0.27
Slc12a9	0.66	3.44E-106	1.07E-104	0.21	0.28
Ythdf2	0.66	8.92E-105	2.76E-103	0.13	0.22
I830077J02Rik	0.66	1.37E-97	4.10E-96	0.07	0.16
Rilpl1	0.66	1.42E-106	4.46E-105	0.07	0.16
Hps3	0.66	1.80E-102	5.46E-101	0.06	0.15
Zmiz1	0.66	2.54E-103	7.81E-102	0.1	0.19
Pnp	0.66	3.92E-126	1.37E-124	0.34	0.39
Rpl30	0.66	3.44E-200	1.65E-198	0.62	0.58
Tsc22d3	0.66	8.11E-101	2.45E-99	0.08	0.15
Zbtb7a	0.66	2.33E-106	7.30E-105	0.12	0.21
B4galt1	0.66	3.21E-96	9.60E-95	0.09	0.17
Man1a2	0.66	7.50E-100	2.26E-98	0.2	0.26
X2810474O19Rik	0.66	1.29E-102	3.92E-101	0.09	0.18
Slc16a6	0.66	8.28E-106	2.57E-104	0.16	0.24
Rsbn1l	0.66	2.40E-109	7.71E-108	0.08	0.18
Saraf	0.65	3.69E-195	1.73E-193	0.59	0.61
Iffo1	0.65	1.16E-109	3.75E-108	0.05	0.15
BC017643	0.65	1.68E-109	5.42E-108	0.11	0.2
AF251705	0.65	6.93E-194	3.24E-192	0.56	0.58
Samsn1	0.65	1.34E-107	4.23E-106	0.22	0.28
H2-DMb1	0.65	4.91E-114	1.60E-112	0.22	0.27
Siglece	0.65	2.76E-108	8.78E-107	0.06	0.15
Cfh	0.65	6.08E-146	2.38E-144	0.42	0.45
Lfng	0.65	2.36E-111	7.66E-110	0.05	0.14
Arl10	0.65	4.90E-106	1.53E-104	0.08	0.18
Cmtm7	0.65	3.44E-177	1.55E-175	0.53	0.55
Phf14	0.65	9.35E-107	2.94E-105	0.08	0.17
Rbm25	0.65	8.47E-115	2.77E-113	0.3	0.35
Fam212a	0.65	4.65E-136	1.72E-134	0.38	0.43
Ly96	0.65	3.26E-193	1.52E-191	0.01	0.12
Nfe2l2	0.65	3.47E-126	1.21E-124	0.33	0.37
Pwwp2a	0.65	1.35E-105	4.19E-104	0.06	0.15
Itch	0.65	2.22E-107	7.00E-106	0.08	0.17
Gpr84	0.65	5.89E-134	2.15E-132	0.25	0.3
Apbb1ip	0.65	1.66E-180	7.46E-179	0.55	0.57
Cebpz	0.65	4.36E-107	1.37E-105	0.11	0.2
Mylip	0.65	1.02E-117	3.40E-116	0.15	0.24
B4galt4	0.65	1.81E-111	5.87E-110	0.08	0.18
Pnn	0.65	2.29E-108	7.32E-107	0.16	0.24
Fcgr2b	0.65	1.27E-135	4.69E-134	0.27	0.34
BC037034	0.65	2.88E-115	9.53E-114	0.08	0.18
Soga1	0.65	2.40E-118	8.07E-117	0.02	0.13
X3222401L13Rik	0.65	2.69E-118	9.01E-117	0.01	0.12
Prex1	0.65	5.23E-115	1.71E-113	0.1	0.19
Cebpa	0.65	9.20E-108	2.92E-106	0.23	0.27
Tmem55b	0.64	2.82E-143	1.09E-141	0.41	0.46
Tacc1	0.64	4.68E-109	1.50E-107	0.1	0.19
Plekho1	0.64	3.56E-136	1.32E-134	0.38	0.43
Lyl1	0.64	3.36E-119	1.13E-117	0.26	0.33
Dock8	0.64	1.82E-108	5.81E-107	0.09	0.19
Actb	0.64	0.00E+00	0.00E+00	0.99	1
Calhm2	0.64	3.22E-116	1.07E-114	0.03	0.13
Upk1b	0.64	1.66E-129	5.95E-128	0	0.1
Lrrk1	0.64	2.88E-111	9.31E-110	0.07	0.17
Hexb	0.64	0.00E+00	0.00E+00	1	1
Coro1a	0.64	1.47E-263	8.50E-262	0.66	0.69
Taz	0.64	4.45E-115	1.46E-113	0.15	0.24
Wsb1	0.64	1.97E-124	6.77E-123	0.18	0.27
Rps6ka1	0.64	3.28E-128	1.16E-126	0.19	0.27
Tmem243	0.64	3.62E-117	1.20E-115	0.12	0.22
Itpripl1	0.64	3.91E-115	1.29E-113	0.02	0.11
Itpr2	0.64	9.80E-123	3.34E-121	0.06	0.16
Sgk1	0.64	2.76E-135	1.02E-133	0.35	0.36
Tcf4	0.64	1.13E-124	3.89E-123	0.19	0.27
Stx16	0.64	4.36E-126	1.52E-124	0.19	0.29
Usp2	0.64	1.51E-130	5.45E-129	0.22	0.3
Papss1	0.64	9.93E-128	3.50E-126	0.11	0.21
Ddit4	0.64	4.94E-124	1.69E-122	0.02	0.12
Syngr2	0.64	1.09E-174	4.83E-173	0.49	0.53
Mgat4a	0.63	5.89E-112	1.92E-110	0.07	0.17
Pmepa1	0.63	5.43E-118	1.81E-116	0.1	0.19
Cd34	0.63	2.14E-122	7.29E-121	0.13	0.22
Serpinf1	0.63	2.74E-128	9.78E-127	0.03	0.13
Cd82	0.63	5.51E-125	1.91E-123	0.2	0.28
Csmd3	0.63	1.77E-234	9.55E-233	0	0.11
Gtf2h2	0.63	1.36E-140	5.14E-139	0.28	0.37
Unc93b1	0.63	0.00E+00	0.00E+00	0.91	0.92
Ogfrl1	0.63	1.14E-120	3.87E-119	0.19	0.27
Tgfb1	0.63	1.40E-187	6.42E-186	0.52	0.55
Tra2b	0.63	2.88E-128	1.02E-126	0.26	0.33
Capza2	0.63	0.00E+00	0.00E+00	0.83	0.86
Clec4a3	0.63	1.83E-123	6.26E-122	0.11	0.21
Il16	0.63	1.17E-131	4.23E-130	0.13	0.23
Rplp1	0.62	0.00E+00	0.00E+00	0.91	0.89
Col27a1	0.62	1.71E-130	6.14E-129	0.02	0.14
Pten	0.62	2.41E-120	8.13E-119	0.08	0.18
Slc38a2	0.62	9.48E-127	3.32E-125	0.08	0.19
Ltc4s	0.62	0.00E+00	0.00E+00	0.73	0.73
Epb41l2	0.62	7.62E-147	3.01E-145	0.29	0.35
Zbtb20	0.62	3.61E-128	1.28E-126	0.03	0.14
Vasp	0.62	9.84E-153	3.98E-151	0.32	0.4
Pura	0.62	5.99E-121	2.03E-119	0.09	0.19
Lcp1	0.62	2.45E-168	1.06E-166	0.4	0.47
Lrrc3	0.62	1.19E-140	4.50E-139	0.01	0.13
Ctc1	0.62	9.20E-137	3.42E-135	0.19	0.28
Cd27	0.62	5.87E-129	2.10E-127	0.01	0.11
Klf6	0.62	5.50E-128	1.94E-126	0.15	0.24
Clk1	0.62	1.39E-124	4.79E-123	0.09	0.2
Sec62	0.62	8.86E-170	3.85E-168	0.36	0.43
Rnf167	0.62	1.63E-125	5.63E-124	0.1	0.21
Gtpbp2	0.62	9.85E-126	3.42E-124	0.09	0.2
Camk2n1	0.62	2.62E-127	9.22E-126	0.04	0.15
Mertk	0.62	3.55E-142	1.37E-140	0.24	0.31
Mir142hg	0.62	3.68E-118	1.23E-116	0.09	0.16
Mbnl2	0.61	8.52E-133	3.09E-131	0.11	0.22
Fam134b	0.61	2.44E-134	8.91E-133	0.2	0.29
Csnk1e	0.61	3.00E-138	1.12E-136	0.24	0.32
Adora3	0.61	2.58E-138	9.65E-137	0.17	0.26
Hps4	0.61	7.97E-135	2.92E-133	0.08	0.19
Slamf9	0.61	3.36E-135	1.23E-133	0.06	0.17
Tsc22d4	0.61	3.40E-188	1.56E-186	0.39	0.46
Ccng2	0.61	1.47E-140	5.55E-139	0.12	0.23
Zfp36	0.61	1.61E-141	6.15E-140	0.06	0.17
Skil	0.61	1.14E-131	4.12E-130	0.06	0.17
Fam102b	0.61	1.09E-133	3.97E-132	0.05	0.17
H2-Eb1	0.61	4.52E-183	2.05E-181	0	0.02
Snx18	0.61	6.76E-142	2.59E-140	0.12	0.23
Sult1a1	0.61	4.33E-146	1.70E-144	0.01	0.14
Ifi27l2a	0.61	2.11E-222	1.08E-220	0.1	0.11
Ogt	0.61	6.17E-153	2.50E-151	0.21	0.31
Csf3r	0.60	8.79E-158	3.63E-156	0.15	0.27
H2-Ab1	0.60	7.33E-198	3.46E-196	0.11	0.06
Fyb	0.60	2.29E-229	1.21E-227	0.52	0.56
Srgn	0.60	4.94E-150	1.98E-148	0.16	0.27
Camk2d	0.60	1.19E-145	4.65E-144	0.19	0.3
Ccni	0.60	5.86E-139	2.20E-137	0.13	0.23
Ptprc	0.60	2.04E-143	7.89E-142	0.16	0.26
H2-K1	0.60	7.56E-270	4.52E-268	0.45	0.44
Prkca	0.60	9.95E-141	3.78E-139	0.03	0.16
Gm26917	0.60	2.93E-241	1.61E-239	0.43	0.4
Wasf2	0.60	4.42E-174	1.96E-172	0.3	0.4
BC035044	0.60	1.21E-152	4.90E-151	0.07	0.2
Sox4	0.60	5.89E-167	2.51E-165	0.21	0.3
Clec4a2	0.60	4.36E-144	1.69E-142	0.11	0.22
Dusp6	0.60	3.37E-168	1.45E-166	0.3	0.37
Mef2c	0.60	0.00E+00	0.00E+00	0.72	0.75
Nmt1	0.60	2.61E-167	1.11E-165	0.25	0.34
Dpysl2	0.60	1.00E-144	3.90E-143	0.03	0.14
Nav3	0.60	6.80E-141	2.59E-139	0.04	0.16
Rogdi	0.59	2.99E-182	1.36E-180	0.28	0.38
Fchsd2	0.59	7.55E-150	3.02E-148	0.12	0.24
Gm26699	0.59	1.40E-139	5.26E-138	0.03	0.16
Ttc14	0.59	4.05E-147	1.60E-145	0.15	0.27
Mtus1	0.59	3.50E-151	1.41E-149	0.12	0.24
Irf8	0.59	0.00E+00	0.00E+00	0.66	0.7
Klk8	0.59	1.62E-160	6.68E-159	0.04	0.17
Itgam	0.59	9.52E-169	4.13E-167	0.25	0.34
Tmem100	0.59	1.28E-149	5.11E-148	0.08	0.2
Bhlhe41	0.59	4.29E-149	1.71E-147	0.05	0.14
Rps21	0.59	1.10E-267	6.51E-266	0.52	0.54
Lyn	0.59	3.88E-220	1.97E-218	0.41	0.5
Herc2	0.59	9.43E-155	3.84E-153	0.11	0.23
P2ry6	0.59	1.02E-294	6.54E-293	0.62	0.67
Crybb1	0.59	0.00E+00	0.00E+00	0.56	0.64
Ifitm3	0.59	5.77E-224	2.98E-222	0.05	0.09
Ywhah	0.58	0.00E+00	0.00E+00	0.7	0.73
Tspan14	0.58	2.08E-156	8.49E-155	0.13	0.26
Klf3	0.58	1.75E-163	7.34E-162	0.15	0.27
Cd52	0.58	1.067182e-321	7.291421e-320	0.45	0.47
Cd53	0.58	0.00E+00	0.00E+00	0.83	0.87
Rsrc2	0.58	8.96E-163	3.73E-161	0.18	0.29
Lpar6	0.58	5.38E-182	2.43E-180	0.33	0.42
Ptafr	0.58	6.83E-149	2.71E-147	0.05	0.16
Ptpn1	0.58	1.35E-198	6.45E-197	0.27	0.39
Arhgef1	0.58	2.40E-157	9.88E-156	0.14	0.25
Asb2	0.58	8.98E-162	3.72E-160	0.03	0.16
Arrb2	0.58	1.62E-190	7.48E-189	0.29	0.4
Thrsp	0.58	1.14E-163	4.80E-162	0.01	0.14
March1	0.58	1.20E-156	4.89E-155	0.05	0.18
Fam46a	0.58	7.61E-157	3.12E-155	0.08	0.2
Rpl22l1	0.58	2.71E-192	1.26E-190	0.18	0.28
Ubc	0.57	0.00E+00	0.00E+00	0.86	0.88
Mycbp2	0.57	5.12E-163	2.14E-161	0.09	0.22
Tra2a	0.57	2.24E-167	9.57E-166	0.14	0.28
Cxxc5	0.57	7.05E-171	3.07E-169	0.17	0.3
Crlf3	0.57	1.23E-166	5.20E-165	0.11	0.25
Akap13	0.57	8.13E-173	3.56E-171	0.15	0.28
Gm42418	0.57	5.37E-225	2.79E-223	0.32	0.36
Laptm5	0.56	0.00E+00	0.00E+00	0.95	0.94
Zeb2	0.56	1.64E-242	9.05E-241	0.34	0.45
Ptpre	0.56	5.87E-175	2.61E-173	0.17	0.28
Stambpl1	0.56	3.18E-164	1.35E-162	0.06	0.2
Snx29	0.56	3.62E-173	1.59E-171	0.05	0.2
Rcsd1	0.56	2.95E-171	1.29E-169	0.1	0.23
Cebpg	0.56	1.34E-173	5.93E-172	0.17	0.29
Sipa1	0.56	3.55E-189	1.63E-187	0.21	0.34
Apobec3	0.56	8.98E-192	4.16E-190	0.19	0.32
Gm26916	0.56	6.96E-164	2.94E-162	0	0.14
Nav2	0.56	1.37E-176	6.13E-175	0.01	0.16
Wnk1	0.56	1.66E-204	8.15E-203	0.24	0.37
Entpd1	0.56	6.88E-203	3.34E-201	0.2	0.33
Celf2	0.55	3.21E-249	1.81E-247	0.35	0.47
Jund	0.55	1.02E-200	4.90E-199	0.25	0.34
Smap2	0.55	6.02E-226	3.14E-224	0.31	0.42
Glul	0.55	0.00E+00	0.00E+00	0.75	0.81
Ankrd44	0.55	4.26E-177	1.91E-175	0.07	0.22
Gna15	0.55	2.21E-223	1.13E-221	0.29	0.42
Rrbp1	0.55	0.00E+00	0.00E+00	0.6	0.63
Eif4a2	0.55	2.02E-198	9.59E-197	0.15	0.29
Herpud1	0.55	1.47E-206	7.32E-205	0.16	0.31
Scoc	0.55	1.34E-272	8.13E-271	0.42	0.52
Serinc3	0.55	0.00E+00	0.00E+00	0.86	0.83
Cyth4	0.55	7.02E-301	4.58E-299	0.46	0.56
Srrm2	0.55	5.80E-271	3.49E-269	0.4	0.53
Ppfia4	0.54	6.12E-263	3.54E-261	0.3	0.44
Ckb	0.54	0.00E+00	0.00E+00	0.76	0.82
Vgll4	0.54	4.73E-198	2.24E-196	0.17	0.33
Pik3r1	0.54	2.88E-195	1.36E-193	0.12	0.27
Itgb2	0.54	1.03E-231	5.46E-230	0.25	0.37
Cmtm6	0.54	1.87E-262	1.08E-260	0.35	0.45
Aif1	0.54	0.00E+00	0.00E+00	0.82	0.88
Slc29a3	0.54	3.32E-201	1.60E-199	0.1	0.26
Mtdh	0.54	0.00E+00	0.00E+00	0.54	0.65
Ophn1	0.54	3.42E-200	1.64E-198	0.16	0.3
C1qa	0.54	0.00E+00	0.00E+00	1	1
Commd8	0.53	2.70E-276	1.67E-274	0.33	0.47
Arglu1	0.53	8.88E-185	4.05E-183	0.1	0.24
Frmd4b	0.53	1.27E-211	6.42E-210	0.15	0.3
Cttnbp2nl	0.53	2.61E-220	1.33E-218	0.13	0.28
Spint1	0.53	4.80E-205	2.37E-203	0.03	0.19
Smad7	0.53	2.71E-203	1.32E-201	0.05	0.21
Xist	0.53	2.56E-206	1.27E-204	0.25	0.23
Fus	0.53	5.20E-283	3.25E-281	0.35	0.5
Irf5	0.53	1.58E-246	8.81E-245	0.23	0.38
Il21r	0.52	1.81E-209	9.10E-208	0.06	0.23
Ddx5	0.52	0.00E+00	0.00E+00	0.69	0.77
H2-Aa	0.52	1.64E-259	9.39E-258	0	0.02
Pid1	0.52	2.75E-208	1.37E-206	0.12	0.28
Tanc2	0.52	7.72E-204	3.78E-202	0.06	0.23
Pnisr	0.52	5.59E-225	2.90E-223	0.18	0.34
Elmo1	0.51	5.97E-239	3.26E-237	0.15	0.31
Ctss	0.50	0.00E+00	0.00E+00	1	1
Lair1	0.50	0.00E+00	0.00E+00	0.54	0.66
Dock10	0.50	1.99E-223	1.02E-221	0.11	0.28
Golm1	0.50	3.46E-284	2.18E-282	0.25	0.41
Cd164	0.50	9.88E-253	5.62E-251	0.17	0.33
Bmp2k	0.50	1.67E-228	8.78E-227	0.11	0.23
Nfkbia	0.50	2.27E-242	1.25E-240	0.12	0.28
Tspan13	0.50	3.39E-268	2.01E-266	0.15	0.33
Picalm	0.49	1.75E-241	9.60E-240	0.11	0.28
Pag1	0.49	1.65E-235	8.93E-234	0.06	0.24
Fcgr1	0.49	0.00E+00	0.00E+00	0.44	0.6
Fgd2	0.49	6.507468e-310	4.34E-308	0.25	0.43
Lst1	0.49	0.00E+00	5.03E-307	0.25	0.42
Rhoh	0.49	1.43E-275	8.80E-274	0.22	0.39
Bin1	0.48	0.00E+00	0.00E+00	0.56	0.7
Hck	0.48	5.87E-266	3.42E-264	0.12	0.32
Slc1a3	0.48	4.14E-246	2.30E-244	0.03	0.21
Il10ra	0.48	2.43E-247	1.36E-245	0.07	0.26
Susd3	0.48	0.00E+00	0.00E+00	0.37	0.58
Git2	0.47	1.82E-272	1.10E-270	0.14	0.33
Btg1	0.47	5.30E-273	3.22E-271	0.14	0.29
Gngt2	0.47	5.318691e-313	3.600136e-311	0.18	0.38
Rbm39	0.46	0.00E+00	0.00E+00	0.59	0.73
Nrip1	0.46	5.57E-293	3.56E-291	0.13	0.33
AY036118	0.46	0.00E+00	0.00E+00	0.2	0.3
Inpp5d	0.46	7.997367e-313	5.388226e-311	0.2	0.38
Kctd12	0.46	0.00E+00	0.00E+00	0.2	0.38
Hpgd	0.46	0.00E+00	0.00E+00	0.34	0.54
Pla2g15	0.45	0.00E+00	0.00E+00	0.19	0.4
Tmem176a	0.45	0.00E+00	0.00E+00	0.26	0.46
Txnip	0.45	1.47E-298	9.56E-297	0.12	0.32
Ifngr1	0.45	0.00E+00	0.00E+00	0.75	0.86
Hk2	0.45	3.103477e-311	0.00E+00	0.15	0.33
Il6ra	0.44	0.00E+00	0.00E+00	0.15	0.36
Bin2	0.44	0.00E+00	0.00E+00	0.36	0.58
Alox5ap	0.44	0.00E+00	0.00E+00	0.32	0.55
Maf	0.44	0.00E+00	0.00E+00	0.4	0.57
Olfml3	0.44	0.00E+00	0.00E+00	0.88	0.9
Pou2f2	0.44	0.00E+00	0.00E+00	0.23	0.45
F11r	0.43	0.00E+00	0.00E+00	0.33	0.54
Rpl39	0.43	0.00E+00	0.00E+00	0.49	0.58
Csf1r	0.43	0.00E+00	0.00E+00	0.91	0.96
Ivns1abp	0.43	0.00E+00	0.00E+00	0.2	0.42
Srgap2	0.42	0.00E+00	0.00E+00	0.16	0.38
Lrba	0.42	7.88E-303	5.17E-301	0.01	0.23
Mef2a	0.42	0.00E+00	0.00E+00	0.16	0.37
Adrb2	0.42	0.00E+00	0.00E+00	0.16	0.39
Ccl12	0.41	0.00E+00	0.00E+00	0.12	0.21
Mbnl1	0.41	0.00E+00	0.00E+00	0.2	0.41
Adgrg1	0.41	0.00E+00	0.00E+00	0.05	0.28
